"case_id","abbrev","name","group_label","category","signal_density"
28,"ACVII","Accessory facial motor nucleus","relapse","HB",193000
28,"VII","Facial motor nucleus","relapse","HB",105457.831325
28,"VNC","Vestibular nuclei","relapse","HB",6500
28,"CN","Cochlear nuclei","relapse","HB",2146020
28,"B","Barrington's nucleus","relapse","HB",363000
28,"PCG","Pontine central gray","relapse","HB",1339103.44828
28,"PG","Pontine gray","relapse","HB",17915533.3333
28,"PRNc","Pontine reticular nucleus, caudal part","relapse","HB",2143156.25
28,"SUT","Supratrigeminal nucleus","relapse","HB",5313567.16418
28,"TRN","Tegmental reticular nucleus","relapse","HB",21408225
28,"V","Motor nucleus of trigeminal","relapse","HB",7835914.89362
28,"LC","Locus ceruleus","relapse","HB",104000
28,"LDT","Laterodorsal tegmental nucleus","relapse","HB",12287000
28,"PRNr","Pontine reticular nucleus","relapse","HB",6751035.88907
28,"SLC","Subceruleus nucleus","relapse","HB",2713750
28,"SLD","Sublaterodorsal nucleus","relapse","HB",3653518.51852
28,"NLL","Nucleus of the lateral lemniscus","relapse","HB",2715116.37931
28,"PB","Parabrachial nucleus","relapse","HB",6188897.35099
28,"PSV","Principal sensory nucleus of the trigeminal","relapse","HB",3957257.14286
28,"SOC","Superior olivary complex","relapse","HB",469788.07947
28,"LHA","Lateral hypothalamic area","relapse","HY",13444403.9409
28,"LPO","Lateral preoptic area","relapse","HY",7378195.43974
28,"PST","Preparasubthalamic nucleus","relapse","HY",21746000
28,"PSTN","Parasubthalamic nucleus","relapse","HY",25812652.1739
28,"RCH","Retrochiasmatic area","relapse","HY",4456086.95652
28,"STN","Subthalamic nucleus","relapse","HY",14752696.9697
28,"TU","Tuberal nucleus","relapse","HY",4462200
28,"ZI","Zona incerta","relapse","HY",12790070.5645
28,"AHN","Anterior hypothalamic nucleus","relapse","HY",15124927.5362
28,"MBO","Mammillary body","relapse","HY",3175705.88235
28,"PH","Posterior hypothalamic nucleus","relapse","HY",14735000
28,"PMv","Ventral premammillary nucleus","relapse","HY",1560000
28,"PVHd","Paraventricular hypothalamic nucleus, descending division","relapse","HY",26804800
28,"VMH","Ventromedial hypothalamic nucleus","relapse","HY",1431571.42857
28,"AVP","Anteroventral preoptic nucleus","relapse","HY",2858000
28,"DMH","Dorsomedial nucleus of the hypothalamus","relapse","HY",13017000
28,"MPO","Medial preoptic area","relapse","HY",4470321.42857
28,"PS","Parastrial nucleus","relapse","HY",6908166.66667
28,"VLPO","Ventrolateral preoptic nucleus","relapse","HY",1561100
28,"SO","Supraoptic nucleus","relapse","HY",2235136.36364
28,"ATN","Anterior group of the dorsal thalamus","relapse","TH",7806492.5816
28,"EPI","Epithalamus","relapse","TH",5917348.14815
28,"GENv","Geniculate group, ventral thalamus","relapse","TH",25569791.6667
28,"ILM","Intralaminar nuclei of the dorsal thalamus","relapse","TH",13057265.5172
28,"LAT","Lateral group of the dorsal thalamus","relapse","TH",9829261.11745
28,"MED","Medial group of the dorsal thalamus","relapse","TH",11557345.0704
28,"MTN","Midline group of the dorsal thalamus","relapse","TH",25462833.3333
28,"RT","Reticular nucleus of the thalamus","relapse","TH",4237016.16162
28,"GENd","Geniculate group, dorsal thalamus","relapse","TH",8971545.45455
28,"PP","Peripeduncular nucleus","relapse","TH",6979285.71429
28,"SPF","Subparafascicular nucleus","relapse","TH",11035455.5556
28,"VENT","Ventral group of the dorsal thalamus","relapse","TH",11290376.5846
28,"CUN","Cuneiform nucleus","relapse","MB",13090228.8136
28,"LT","Lateral terminal nucleus of the accessory optic tract","relapse","MB",3751000
28,"MRN","Midbrain reticular nucleus","relapse","MB",12372111.9221
28,"PRC","Precommissural nucleus","relapse","MB",31793388.8889
28,"APN","Anterior pretectal nucleus","relapse","MB",12943175.5725
28,"MPT","Medial pretectal area","relapse","MB",17223950
28,"NOT","Nucleus of the optic tract","relapse","MB",12991281.25
28,"NPC","Nucleus of the posterior commissure","relapse","MB",28192337.0787
28,"OP","Olivary pretectal nucleus","relapse","MB",11833964.2857
28,"PPT","Posterior pretectal nucleus","relapse","MB",19891720
28,"RN","Red nucleus","relapse","MB",10155727.2727
28,"RR","Midbrain reticular nucleus, retrorubral area","relapse","MB",9203853.65854
28,"SCdg","Superior colliculus, motor related, deep gray layer","relapse","MB",12456969.0476
28,"SCdw","Superior colliculus, motor related, deep white layer","relapse","MB",9084137.2549
28,"SCig","Superior colliculus, motor related, intermediate gray layer","relapse","MB",19701593.9197
28,"SCiw","Superior colliculus, motor related, intermediate white layer","relapse","MB",17877003.937
28,"SNr","Substantia nigra, reticular part","relapse","MB",4505435.07589
28,"VTA","Ventral tegmental area","relapse","MB",9302937.00787
28,"IC","Inferior colliculus","relapse","MB",7098066.41509
28,"MEV","Midbrain trigeminal nucleus","relapse","MB",5496636.36364
28,"NB","Nucleus of the brachium of the inferior colliculus","relapse","MB",8162960
28,"PBG","Parabigeminal nucleus","relapse","MB",3896275.86207
28,"SAG","Nucleus sagulum","relapse","MB",9787324.32432
28,"SCop","Superior colliculus, optic layer","relapse","MB",26267048.0769
28,"SCsg","Superior colliculus, superficial gray layer","relapse","MB",11983664.7287
28,"PPN","Pedunculopontine nucleus","relapse","MB",7141962.16216
28,"SNc","Substantia nigra, compact part","relapse","MB",6332650
28,"BAC","Bed nucleus of the anterior commissure","relapse","PAL",2628000
28,"BST","Bed nuclei of the stria terminalis","relapse","PAL",13623086.2745
28,"GPe","Globus pallidus, external segment","relapse","PAL",4387899.4709
28,"GPi","Globus pallidus, internal segment","relapse","PAL",7640980.76923
28,"MSC","Medial septal complex","relapse","PAL",2692775.5102
28,"TRS","Triangular nucleus of septum","relapse","PAL",12135200
28,"MA","Magnocellular nucleus","relapse","PAL",2782148.14815
28,"SI","Substantia innominata","relapse","PAL",9798408.88889
28,"LS","Lateral septal nucleus","relapse","STR",17933317.6101
28,"SF","Septofimbrial nucleus","relapse","STR",23704100
28,"CP","Caudoputamen","relapse","STR",14747274.0076
28,"ACB","Nucleus accumbens","relapse","STR",20163529.4848
28,"FS","Fundus of striatum","relapse","STR",15397634.4828
28,"OT","Olfactory tubercle","relapse","STR",7183439.82495
28,"AAA","Anterior amygdalar area","relapse","STR",7540821.2766
28,"BA","Bed nucleus of the accessory olfactory tract","relapse","STR",10210360
28,"CEA","Central amygdalar nucleus","relapse","STR",14062140.9266
28,"IA","Intercalated amygdalar nucleus","relapse","STR",19604977.0115
28,"MEA","Medial amygdalar nucleus","relapse","STR",14685741.0562
28,"HIP","Hippocampal region","relapse","CTXpl",8748420.49861
28,"RHP","Retrohippocampal region","relapse","CTXpl",10318750.0637
28,"ACA","Anterior cingulate area","relapse","CTXpl",21318529.6239
28,"AI","Agranular insular area","relapse","CTXpl",18635768.0348
