"case_id","abbrev","name","signal_density","group_label","category"
28,"ACVII","Accessory facial motor nucleus",193000,"relapse","HB"
28,"VII","Facial motor nucleus",105457.831325,"relapse","HB"
28,"SUV","Superior vestibular nucleus",6500,"relapse","HB"
28,"VCO","Ventral cochlear nucleus",2146020,"relapse","HB"
28,"B","Barrington's nucleus",363000,"relapse","HB"
28,"PCG","Pontine central gray",1339103.44828,"relapse","HB"
28,"PG","Pontine gray",17915533.3333,"relapse","HB"
28,"PRNc","Pontine reticular nucleus, caudal part",2143156.25,"relapse","HB"
28,"SUT","Supratrigeminal nucleus",5313567.16418,"relapse","HB"
28,"TRN","Tegmental reticular nucleus",21408225,"relapse","HB"
28,"V","Motor nucleus of trigeminal",7835914.89362,"relapse","HB"
28,"LC","Locus ceruleus",104000,"relapse","HB"
28,"LDT","Laterodorsal tegmental nucleus",12287000,"relapse","HB"
28,"PRNr","Pontine reticular nucleus",6751035.88907,"relapse","HB"
28,"SLC","Subceruleus nucleus",2713750,"relapse","HB"
28,"SLD","Sublaterodorsal nucleus",3653518.51852,"relapse","HB"
28,"NLL","Nucleus of the lateral lemniscus",2715116.37931,"relapse","HB"
28,"PSV","Principal sensory nucleus of the trigeminal",3957257.14286,"relapse","HB"
28,"POR","Superior olivary complex, periolivary region",474155.555556,"relapse","HB"
28,"SOCl","Superior olivary complex, lateral part",366712.328767,"relapse","HB"
28,"SOCm","Superior olivary complex, medial part",691848.484848,"relapse","HB"
28,"LHA","Lateral hypothalamic area",13444403.9409,"relapse","HY"
28,"LPO","Lateral preoptic area",7378195.43974,"relapse","HY"
28,"PST","Preparasubthalamic nucleus",21746000,"relapse","HY"
28,"PSTN","Parasubthalamic nucleus",25812652.1739,"relapse","HY"
28,"RCH","Retrochiasmatic area",4456086.95652,"relapse","HY"
28,"STN","Subthalamic nucleus",14752696.9697,"relapse","HY"
28,"TU","Tuberal nucleus",4462200,"relapse","HY"
28,"FF","Fields of Forel",20936363.6364,"relapse","HY"
28,"AHN","Anterior hypothalamic nucleus",15124927.5362,"relapse","HY"
28,"LM","Lateral mammillary nucleus",845375,"relapse","HY"
28,"MM","Medial mammillary nucleus",2967000,"relapse","HY"
28,"SUM","Supramammillary nucleus",9177875,"relapse","HY"
28,"TM","Tuberomammillary nucleus",2006444.44444,"relapse","HY"
28,"PH","Posterior hypothalamic nucleus",14735000,"relapse","HY"
28,"PMv","Ventral premammillary nucleus",1560000,"relapse","HY"
28,"PVHd","Paraventricular hypothalamic nucleus, descending division",26804800,"relapse","HY"
28,"VMH","Ventromedial hypothalamic nucleus",1431571.42857,"relapse","HY"
28,"AVP","Anteroventral preoptic nucleus",2858000,"relapse","HY"
28,"DMH","Dorsomedial nucleus of the hypothalamus",13017000,"relapse","HY"
28,"MPO","Medial preoptic area",4470321.42857,"relapse","HY"
28,"PS","Parastrial nucleus",6908166.66667,"relapse","HY"
28,"VLPO","Ventrolateral preoptic nucleus",1561100,"relapse","HY"
28,"SO","Supraoptic nucleus",2235136.36364,"relapse","HY"
28,"AD","Anterodorsal nucleus",6718222.22222,"relapse","TH"
28,"AM","Anteromedial nucleus",8286925.23364,"relapse","TH"
28,"AV","Anteroventral nucleus of thalamus",8616742.85714,"relapse","TH"
28,"IAD","Interanterodorsal nucleus of the thalamus",18223750,"relapse","TH"
28,"LD","Lateral dorsal nucleus of thalamus",6915784.70255,"relapse","TH"
28,"LH","Lateral habenula",7105553.57143,"relapse","TH"
28,"MH","Medial habenula",131304.347826,"relapse","TH"
28,"IGL","Intergeniculate leaflet of the lateral geniculate complex",36614350,"relapse","TH"
28,"LGv","Ventral part of the lateral geniculate complex",25382878.2609,"relapse","TH"
28,"SubG","Subgeniculate nucleus",3414666.66667,"relapse","TH"
28,"CL","Central lateral nucleus of the thalamus",12379511.3636,"relapse","TH"
28,"PCN","Paracentral nucleus",9956175.67568,"relapse","TH"
28,"PF","Parafascicular nucleus",15316039.0625,"relapse","TH"
28,"LP","Lateral posterior nucleus of the thalamus",8136329.08163,"relapse","TH"
28,"PO","Posterior complex of the thalamus",11178724.3736,"relapse","TH"
28,"POL","Posterior limiting nucleus of the thalamus",12196514.2857,"relapse","TH"
28,"SGN","Suprageniculate nucleus",8771181.81818,"relapse","TH"
28,"MD","Mediodorsal nucleus of thalamus",11777298.5612,"relapse","TH"
28,"PR","Perireunensis nucleus",83000,"relapse","TH"
